Open,High,Low,Close,Volume
1500.0,1500.0,1450.0,1500.0,477182107.7
1500.0,1500.0,1479.2,1479.2,253737724.2
1550.0,1550.0,1485.0,1550.0,306099202.3
1570.8,1570.8,1506.0,1506.0,320749736.3
1499.0,1499.0,1471.0,1499.0,77043373.0
1492.0,1492.0,1455.0,1455.0,117845624.3
1452.5,1452.5,1423.0,1452.5,141804026.8
1439.9,1439.9,1412.0,1412.0,83678127.8
1460.0,1460.0,1421.0,1460.0,62466671.3
1500.0,1500.0,1412.0,1412.0,132920768.8
1460.0,1460.0,1380.0,1460.0,90803695.9
1421.0,1421.0,1364.0,1364.0,180359302.0
1465.0,1465.0,1420.5,1465.0,115900522.0
1459.0,1459.0,1434.0,1434.0,81404391.5
1480.0,1480.0,1450.0,1480.0,69263114.6
1514.0,1514.0,1475.0,1475.0,90741486.9
1495.0,1495.0,1415.0,1495.0,171593128.0
1514.0,1514.0,1471.0,1471.0,160550423.8
1530.0,1530.0,1509.0,1530.0,91588100.7
1535.3,1535.3,1523.0,1523.0,55861135.0
1535.0,1535.0,1518.7,1535.0,80607814.9
1530.0,1530.0,1508.0,1508.0,91499906.8
1538.0,1538.0,1520.0,1538.0,130596179.5
1550.0,1550.0,1535.0,1535.0,100167376.7
1550.0,1550.0,1527.0,1550.0,84660876.9
1550.0,1550.0,1532.0,1532.0,95971223.5
1554.9,1554.9,1540.0,1554.9,124845767.5
1565.0,1565.0,1538.0,1538.0,116771963.4
1587.1,1587.1,1546.0,1587.1,138623591.7
1570.0,1570.0,1548.0,1548.0,154429470.8
1565.0,1565.0,1546.1,1565.0,115229721.7
1576.0,1576.0,1540.0,1540.0,161517790.6
1575.0,1575.0,1540.0,1575.0,166765368.9
1580.0,1580.0,1540.0,1540.0,310857416.4
1614.7,1614.7,1570.0,1614.7,298281752.5
1660.0,1660.0,1605.0,1605.0,303329062.3
1740.0,1740.0,1640.1,1740.0,1179786179.7
1650.0,1650.0,1594.0,1594.0,211786540.6
1620.0,1620.0,1551.0,1620.0,340099480.3
1629.9,1629.9,1573.0,1573.0,280317853.1
1619.0,1619.0,1595.0,1619.0,227514050.7
1620.0,1620.0,1559.0,1559.0,431931533.0
1578.0,1578.0,1498.0,1578.0,347877019.5
1500.3,1500.3,1470.3,1470.3,116525820.8
1479.0,1479.0,1462.0,1479.0,80712397.3
1480.0,1480.0,1447.0,1447.0,96418376.7
1479.0,1479.0,1430.0,1479.0,94805048.2
1450.0,1450.0,1420.1,1420.1,111382423.0
1482.0,1482.0,1448.0,1482.0,98998518.3
1507.0,1507.0,1465.0,1465.0,83267214.7
1503.0,1503.0,1439.9,1503.0,171385318.3
1500.0,1500.0,1462.6,1462.6,114755872.1
1453.0,1453.0,1410.0,1453.0,82656811.9
1410.0,1410.0,1394.0,1394.0,62216475.8
1407.0,1407.0,1370.0,1407.0,83897360.6
1429.9,1429.9,1393.0,1393.0,78068846.3
1419.0,1419.0,1401.0,1419.0,66324708.4
1420.0,1420.0,1379.0,1379.0,81901279.3
1415.0,1415.0,1380.0,1415.0,120745318.6
1435.0,1435.0,1403.0,1403.0,67613766.6
1465.0,1465.0,1427.0,1465.0,167255276.4
1455.0,1455.0,1430.0,1430.0,197580382.7
1425.0,1425.0,1400.0,1425.0,111996296.9
1415.0,1415.0,1345.0,1345.0,205606794.6
1440.0,1440.0,1380.0,1440.0,184440763.7
1440.0,1440.0,1408.0,1408.0,154238803.7
1470.0,1470.0,1440.0,1470.0,53826948.5
1473.0,1473.0,1445.0,1445.0,68300810.8
1482.0,1482.0,1440.0,1482.0,307356782.3
1447.0,1447.0,1410.0,1410.0,107395777.5
1420.0,1420.0,1410.0,1420.0,99403841.1
1430.0,1430.0,1404.0,1404.0,84171412.7
1470.0,1470.0,1419.0,1470.0,113607001.3
1445.0,1445.0,1380.0,1380.0,190642503.8
1420.0,1420.0,1372.0,1420.0,246544579.6
1440.0,1440.0,1414.0,1414.0,149553931.0
1446.0,1446.0,1408.0,1446.0,177400692.5
1433.0,1433.0,1402.0,1402.0,178799141.5
1469.0,1469.0,1413.0,1469.0,261950499.9
1480.1,1480.1,1441.0,1441.0,231477148.4
1479.0,1479.0,1448.0,1479.0,177104133.2
1499.0,1499.0,1477.0,1477.0,161112074.2
1501.0,1501.0,1485.0,1501.0,159642701.4
1505.0,1505.0,1485.0,1485.0,178292864.9
1518.0,1518.0,1489.0,1518.0,323314223.9
1560.0,1560.0,1499.0,1499.0,305915871.2
1525.0,1525.0,1475.0,1525.0,370339186.2
1530.0,1530.0,1488.7,1488.7,93543858.3
1540.0,1540.0,1512.2,1540.0,116269022.2
1522.0,1522.0,1490.0,1490.0,196887045.2
